MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:22:3f:ad:63:74,kelly.foran,[WPA-PSK-TKIP],2012-08-08 19:29:32,6,-73,51.5391591492856,-0.152363595090053,72,150,WIFI
58:6d:8f:37:e2:b5,26audenplace,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:32,11,-76,51.5391591492856,-0.152363595090053,72,150,WIFI
00:1f:33:0a:14:09,SKY73570,[WPA-PSK-TKIP],2012-08-08 19:29:32,11,-76,51.5391591492856,-0.152363595090053,72,150,WIFI
14:da:e9:f8:f6:c8,MacC's Network,[WPA2-PSK-CCMP],2012-08-08 19:29:32,11,-80,51.5391591492856,-0.152363595090053,72,150,WIFI
00:18:4d:10:f8:a8,Witherby,[WPA-PSK-TKIP],2012-08-08 19:29:32,11,-87,51.5391591492856,-0.152363595090053,72,150,WIFI
a0:21:b7:cc:ef:6a,Red Bull,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:32,1,-90,51.5391591492856,-0.152363595090053,72,150,WIFI
4c:17:eb:aa:ed:98,SKYAED97,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:32,1,-90,51.5391591492856,-0.152363595090053,72,150,WIFI
00:fe:f4:59:e5:70,BTHub3-2QZT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 19:29:32,6,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
00:24:17:c8:0a:db,BTHomeHub2-T4W2,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 19:29:32,1,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
00:18:4d:7d:54:28,NETGEAR123,[WPA-PSK-TKIP],2012-08-08 19:29:32,9,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
a0:21:b7:f5:c9:e0,Kunal N/W,[WPS][WEP],2012-08-08 19:29:32,11,-74,51.5391591492856,-0.152363595090053,72,150,WIFI
58:6d:8f:37:e2:b7,26audenplace-guest,,2012-08-08 19:29:32,11,-76,51.5391591492856,-0.152363595090053,72,150,WIFI
12:fe:f4:59:e5:70,BTWiFi-with-FON,,2012-08-08 19:29:32,6,-89,51.5391591492856,-0.152363595090053,72,150,WIFI
02:24:17:c8:0a:dc,BTOpenzone-H,,2012-08-08 19:29:32,1,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
02:fe:f4:59:e5:70,BTWiFi,,2012-08-08 19:29:32,6,-91,51.5391591492856,-0.152363595090053,72,150,WIFI
02:24:17:c8:0a:dd,BTFON,,2012-08-08 19:29:32,1,-92,51.5391591492856,-0.152363595090053,72,150,WIFI
23415_162_11716,vodafone UK,EDGE;gb,2012-08-08 19:29:32,0,-95,51.5391591492856,-0.152363595090053,72,150,GSM
1c:bd:b9:c2:61:32,dlink,[WPA2-PSK-TKIP][WPS],2012-08-08 19:29:34,6,-92,51.5391591492856,-0.152363595090053,72,150,WIFI
84:c9:b2:7b:d3:44,TALKTALK-7BD344,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:34,1,-92,51.5391591492856,-0.152363595090053,72,150,WIFI
a0:21:b7:59:d3:d9,virginmedia9802828,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 19:29:47,8,-94,51.539341078508,-0.153204772149435,72,45,WIFI
00:16:b6:ed:f0:32,popcorn,[WPA-PSK-CCMP],2012-08-08 19:29:47,11,-96,51.539341078508,-0.153204772149435,72,45,WIFI
34:ef:44:2c:e2:81,BTBusinessHub-822,[WEP],2012-08-08 19:29:47,8,-94,51.539341078508,-0.153204772149435,72,45,WIFI
00:22:3f:ad:63:74,kelly.foran,[WPA-PSK-TKIP],2012-08-08 22:21:00,6,-50,51.5390154498084,-0.153453835198356,72,200,WIFI
58:6d:8f:37:e2:b5,26audenplace,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 22:21:00,11,-73,51.5390154498084,-0.153453835198356,72,200,WIFI
14:da:e9:f8:f6:c8,MacC's Network,[WPA2-PSK-CCMP],2012-08-08 22:21:00,11,-79,51.5390154498084,-0.153453835198356,72,200,WIFI
00:1f:33:0a:14:09,SKY73570,[WPA-PSK-TKIP],2012-08-08 22:21:00,11,-84,51.5390154498084,-0.153453835198356,72,200,WIFI
00:18:4d:7d:54:28,NETGEAR123,[WPA-PSK-TKIP],2012-08-08 22:21:00,9,-84,51.5390154498084,-0.153453835198356,72,200,WIFI
00:18:4d:10:f8:a8,Witherby,[WPA-PSK-TKIP],2012-08-08 22:21:00,11,-85,51.5390154498084,-0.153453835198356,72,200,WIFI
1c:bd:b9:c2:61:32,dlink,[WPA2-PSK-TKIP][WPS],2012-08-08 22:21:00,6,-86,51.5390154498084,-0.153453835198356,72,200,WIFI
00:26:b6:1e:64:e5,TalkTalk6a4eb,[WPA-PSK-TKIP],2012-08-08 22:21:00,1,-89,51.5390154498084,-0.153453835198356,72,200,WIFI
00:fe:f4:59:e5:70,BTHub3-2QZT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 22:21:00,6,-91,51.5390154498084,-0.153453835198356,72,200,WIFI
00:24:17:c8:0a:db,BTHomeHub2-T4W2,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 22:21:00,1,-93,51.5390154498084,-0.153453835198356,72,200,WIFI
2c:b0:5d:ef:9b:f8,virginmedia7088961,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-08 22:21:00,13,-97,51.5390154498084,-0.153453835198356,72,200,WIFI
a0:21:b7:f5:c9:e0,Kunal N/W,[WPS][WEP],2012-08-08 22:21:00,11,-92,51.5390154498084,-0.153453835198356,72,200,WIFI
58:6d:8f:37:e2:b7,26audenplace-guest,,2012-08-08 22:21:00,11,-72,51.5390154498084,-0.153453835198356,72,200,WIFI
02:24:17:c8:0a:dd,BTFON,,2012-08-08 22:21:00,1,-92,51.5390154498084,-0.153453835198356,72,200,WIFI
02:24:17:c8:0a:dc,BTOpenzone-H,,2012-08-08 22:21:00,1,-93,51.5390154498084,-0.153453835198356,72,200,WIFI
23415_255_48889439,vodafone UK,UMTS;gb,2012-08-08 22:21:00,0,-51,51.5390154498084,-0.153453835198356,72,200,GSM
00:22:3f:2c:26:c6,ibiza,[WPA-PSK-TKIP],2012-08-08 22:21:00,6,-93,51.5390154498084,-0.153453835198356,72,200,WIFI
02:fe:f4:59:e5:70,BTWiFi,,2012-08-08 22:21:00,6,-90,51.5390154498084,-0.153453835198356,72,200,WIFI
12:fe:f4:59:e5:70,BTWiFi-with-FON,,2012-08-08 22:21:00,6,-94,51.5390154498084,-0.153453835198356,72,200,WIFI
00:01:3b:ac:79:92,BTHub3-3797,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-08 22:21:13,6,-94,51.5394203585954,-0.153224423288777,72,90,WIFI
02:01:3b:ac:79:92,BTOpenzone-H,,2012-08-08 22:21:13,6,-91,51.5394203585954,-0.153224423288777,72,90,WIFI
90:21:55:c8:48:2d,Luis Internet,,2012-08-08 22:21:13,1,-92,51.5394203585954,-0.153224423288777,72,90,WIFI
12:01:3b:ac:79:92,BTFON,,2012-08-08 22:21:13,6,-92,51.5394203585954,-0.153224423288777,72,90,WIFI
00:24:17:ee:d9:43,BTHomeHub2-Q95F,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:20:46,9,-76,51.5383015471792,-0.152329507214206,76,50,WIFI
20:2b:c1:7c:d0:85,BTHub3-XGP4,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:20:46,1,-80,51.5383015471792,-0.152329507214206,76,50,WIFI
00:21:04:ca:17:aa,BTHomeHub2-RPZZ,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:20:46,6,-81,51.5383015471792,-0.152329507214206,76,50,WIFI
00:0b:3b:d5:24:c4,devolo-Will,[WPA2-PSK-CCMP][WPS],2012-08-09 15:20:46,2,-82,51.5383015471792,-0.152329507214206,76,50,WIFI
00:24:17:f6:0b:75,BTHomeHub2-C3NG,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:20:46,7,-85,51.5383015471792,-0.152329507214206,76,50,WIFI
f8:1e:df:fa:fa:d7,Baron and Lola,[WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:20:46,1,-88,51.5383015471792,-0.152329507214206,76,50,WIFI
14:d6:4d:a8:a4:b2,SKY15389,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:20:46,6,-89,51.5383015471792,-0.152329507214206,76,50,WIFI
02:24:17:ee:d9:44,BTOpenzone-H,,2012-08-09 15:20:46,9,-75,51.5383015471792,-0.152329507214206,76,50,WIFI
02:26:76:4e:eb:4c,HP-nomodel.54A9D9,[IBSS],2012-08-09 15:20:46,6,-76,51.5383015471792,-0.152329507214206,76,50,WIFI
42:2b:c1:7c:d0:87,BTWiFi-with-FON,,2012-08-09 15:20:46,1,-79,51.5383015471792,-0.152329507214206,76,50,WIFI
42:2b:c1:7c:d0:86,BTWiFi,,2012-08-09 15:20:46,1,-80,51.5383015471792,-0.152329507214206,76,50,WIFI
0a:21:04:ca:17:aa,BTFON,,2012-08-09 15:20:46,6,-81,51.5383015471792,-0.152329507214206,76,50,WIFI
06:21:04:ca:17:aa,BTOpenzone-H,,2012-08-09 15:20:46,6,-81,51.5383015471792,-0.152329507214206,76,50,WIFI
02:24:17:f6:0b:77,BTFON,,2012-08-09 15:20:46,7,-85,51.5383015471792,-0.152329507214206,76,50,WIFI
02:24:17:f6:0b:76,BTOpenzone-H,,2012-08-09 15:20:46,7,-88,51.5383015471792,-0.152329507214206,76,50,WIFI
02:24:17:ee:d9:45,BTFON,,2012-08-09 15:20:46,9,-76,51.5383015471792,-0.152329507214206,76,50,WIFI
23415_10_50659155,vodafone UK,UMTS;gb,2012-08-09 15:20:46,0,-51,51.5383015471792,-0.152329507214206,76,50,GSM
90:94:e4:00:15:d8,TALKTALK-0015D8,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:20:50,1,-81,51.5382015767799,-0.152263915417309,76,15,WIFI
bc:f6:85:ab:e1:cd,TALKTALK-ABE1CD,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:20:50,1,-89,51.5382015767799,-0.152263915417309,76,15,WIFI
90:01:3b:80:9b:4e,SKY09B4D,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:20:50,6,-90,51.5382015767799,-0.152263915417309,76,15,WIFI
00:90:4c:91:00:01,linksys,[WPA-PSK-TKIP],2012-08-09 15:20:50,11,-88,51.5382015767799,-0.152263915417309,76,15,WIFI
00:21:63:2e:e5:60,dexlace,[WEP],2012-08-09 15:20:50,9,-85,51.5382015767799,-0.152263915417309,76,15,WIFI
23415_255_48889497,vodafone UK,UMTS;gb,2012-08-09 15:21:14,0,-69,51.5381102689691,-0.152166361542135,82,10,GSM
00:0b:3b:9b:83:87,devolo5,[WPA2-PSK-CCMP][WPS],2012-08-09 15:21:15,7,-90,51.5381102689691,-0.152166361542135,82,10,WIFI
60:33:4b:e1:2e:b3,H Network,[WPA2-PSK-CCMP],2012-08-09 15:21:50,11,-90,51.5381894235542,-0.152108139408681,92,15,WIFI
00:14:6c:7a:76:d6,NETGEAR,[WPA-PSK-TKIP],2012-08-09 15:21:53,11,-90,51.538189808168,-0.152094738367301,88,15,WIFI
02:22:01:02:03:01,Pronto_Network_1,[IBSS],2012-08-09 15:21:53,1,-90,51.538189808168,-0.152094738367301,88,15,WIFI
90:01:3b:22:0a:27,SKY20A26,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:21:55,6,-89,51.5381988648486,-0.152067110487177,86,10,WIFI
1c:c6:3c:5b:60:b8,BrightBox-rb72ft,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:29,11,-85,51.5381877699784,-0.152054669771319,73,10,WIFI
00:0b:3b:9b:71:1d,devolo4,[WPA2-PSK-CCMP][WPS],2012-08-09 15:22:29,13,-86,51.5381877699784,-0.152054669771319,73,10,WIFI
20:4e:7f:b8:0e:c2,NETGEAR06,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:32,1,-81,51.5381894700471,-0.152002553923769,78,10,WIFI
90:01:3b:6a:f5:5e,SKYAF55D,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:32,6,-82,51.5381894700471,-0.152002553923769,78,10,WIFI
74:44:01:5e:ad:c4,virginmedia9641242,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:32,6,-82,51.5381894700471,-0.152002553923769,78,10,WIFI
a0:21:b7:dc:6f:15,virginmedia4254394,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:32,11,-86,51.5381894700471,-0.152002553923769,78,10,WIFI
c4:3d:c7:c0:93:2e,RitaKush,[WPA-PSK-TKIP][WPS],2012-08-09 15:22:34,11,-84,51.5381862497941,-0.151971704090367,80,10,WIFI
00:24:17:c8:b8:f1,BTHomeHub2-JZ25,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:34,1,-86,51.5381862497941,-0.151971704090367,80,10,WIFI
c0:d0:44:15:5f:70,SKY24431,[WPA-PSK-TKIP],2012-08-09 15:22:34,8,-89,51.5381862497941,-0.151971704090367,80,10,WIFI
00:24:17:a9:66:8d,PlusnetWireless,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:34,6,-90,51.5381862497941,-0.151971704090367,80,10,WIFI
00:16:e3:f7:1e:4f,BTVOYAGER2110-4F,[WEP],2012-08-09 15:22:34,3,-83,51.5381862497941,-0.151971704090367,80,10,WIFI
00:1d:68:81:fb:39,BTHomeHub-622F,[WEP],2012-08-09 15:22:34,7,-83,51.5381862497941,-0.151971704090367,80,10,WIFI
02:24:17:c8:b8:f2,BTOpenzone-H,,2012-08-09 15:22:34,1,-85,51.5381862497941,-0.151971704090367,80,10,WIFI
02:24:17:c8:b8:f3,BTFON,,2012-08-09 15:22:34,1,-89,51.5381862497941,-0.151971704090367,80,10,WIFI
c0:3f:0e:01:c4:54,flat2_27regentspark,[WPA-PSK-TKIP],2012-08-09 15:22:36,6,-84,51.5381830584736,-0.151962012885066,82,10,WIFI
90:01:3b:25:92:9a,SKY59299,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:36,1,-88,51.5381830584736,-0.151962012885066,82,10,WIFI
00:21:e9:b7:57:b6,W-Net,[WPA2-PSK-CCMP],2012-08-09 15:22:39,6,-77,51.538179093267,-0.151941497298063,82,15,WIFI
c4:3d:c7:38:4b:60,virginmedia7001796,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:39,11,-80,51.538179093267,-0.151941497298063,82,15,WIFI
5c:d9:98:09:8e:d1,SKY24639,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:39,1,-81,51.538179093267,-0.151941497298063,82,15,WIFI
00:fe:f4:6b:7c:48,BTHub3-NKNW,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:39,6,-81,51.538179093267,-0.151941497298063,82,15,WIFI
00:fe:f4:5b:c9:d8,BTHub3-ZS4C,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:39,11,-81,51.538179093267,-0.151941497298063,82,15,WIFI
c4:3d:c7:32:93:67,virginmedia4986923,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:39,7,-84,51.538179093267,-0.151941497298063,82,15,WIFI
4c:17:eb:88:e5:ae,SKY8E5AD,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:39,6,-84,51.538179093267,-0.151941497298063,82,15,WIFI
e0:46:9a:1a:e9:f7,EchoSourcing,[WPA2-PSK-CCMP],2012-08-09 15:22:39,13,-89,51.538179093267,-0.151941497298063,82,15,WIFI
00:1f:9f:47:4a:11,O2wireless880403,[WEP],2012-08-09 15:22:39,1,-86,51.538179093267,-0.151941497298063,82,15,WIFI
02:fe:f4:6b:7c:48,BTWiFi,,2012-08-09 15:22:39,6,-81,51.538179093267,-0.151941497298063,82,15,WIFI
12:fe:f4:6b:7c:48,BTWiFi-with-FON,,2012-08-09 15:22:39,6,-81,51.538179093267,-0.151941497298063,82,15,WIFI
23415_10_48889683,vodafone UK,UMTS;gb,2012-08-09 15:22:39,0,-51,51.538179093267,-0.151941497298063,82,15,GSM
00:01:3b:a7:8c:52,BTHub3-WKN5,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:40,11,-78,51.538179093267,-0.151941497298063,82,15,WIFI
00:24:2b:35:b8:d4,BTHomeHub2-ZW8Q,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:40,1,-83,51.538179093267,-0.151941497298063,82,15,WIFI
4c:17:eb:66:80:65,SKY68064,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:40,11,-85,51.538179093267,-0.151941497298063,82,15,WIFI
00:26:bb:78:bd:b1,Marvin,[WPA2-PSK-CCMP],2012-08-09 15:22:40,4,-88,51.538179093267,-0.151941497298063,82,15,WIFI
06:26:bb:78:bd:b1,Arthur,[WPA2-PSK-CCMP],2012-08-09 15:22:40,4,-88,51.538179093267,-0.151941497298063,82,15,WIFI
a0:21:b7:f5:a8:18,virginmedia3500914,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:40,11,-85,51.538179093267,-0.151941497298063,82,15,WIFI
a0:21:b7:4d:69:78,virginmedia0009430,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:40,6,-92,51.538179093267,-0.151941497298063,82,15,WIFI
12:01:3b:a7:8c:52,BTFON,,2012-08-09 15:22:40,11,-77,51.538179093267,-0.151941497298063,82,15,WIFI
02:01:3b:a7:8c:52,BTOpenzone-H,,2012-08-09 15:22:40,11,-78,51.538179093267,-0.151941497298063,82,15,WIFI
02:24:2b:35:b8:d6,BTFON,,2012-08-09 15:22:40,1,-81,51.538179093267,-0.151941497298063,82,15,WIFI
02:24:2b:35:b8:d5,BTOpenzone-H,,2012-08-09 15:22:40,1,-84,51.538179093267,-0.151941497298063,82,15,WIFI
00:1f:1f:d6:43:f0,Edimax AP,,2012-08-09 15:22:40,11,-85,51.538179093267,-0.151941497298063,82,15,WIFI
23415_255_48871285,vodafone UK,UMTS;gb,2012-08-09 15:22:40,0,-51,51.538179093267,-0.151941497298063,82,15,GSM
00:18:4d:b5:72:7a,Flat.Orange,[WPA-PSK-TKIP],2012-08-09 15:22:40,1,-83,51.538179093267,-0.151941497298063,82,15,WIFI
a2:21:b7:bc:66:2d,SKY25376_EXT,[WPA-PSK-TKIP][WPS],2012-08-09 15:22:40,8,-84,51.538179093267,-0.151941497298063,82,15,WIFI
00:1f:33:10:73:1c,SKY25376,[WPA-PSK-TKIP],2012-08-09 15:22:40,8,-85,51.538179093267,-0.151941497298063,82,15,WIFI
2c:b0:5d:f0:de:e8,virginmedia7201393,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:40,1,-85,51.538179093267,-0.151941497298063,82,15,WIFI
00:ac:54:f1:fd:22,BTHub3-ZQRX,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:40,11,-89,51.538179093267,-0.151941497298063,82,15,WIFI
02:ac:54:f1:fd:22,BTOpenzone-H,,2012-08-09 15:22:40,11,-88,51.538179093267,-0.151941497298063,82,15,WIFI
12:ac:54:f1:fd:22,BTFON,,2012-08-09 15:22:40,11,-90,51.538179093267,-0.151941497298063,82,15,WIFI
30:46:9a:fc:56:14,masonhomea,[WPA2-PSK-CCMP][WPS],2012-08-09 15:22:40,2,-85,51.538179093267,-0.151941497298063,82,15,WIFI
00:24:17:f8:d7:ab,SmoodyWorld,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-09 15:22:40,9,-91,51.538179093267,-0.151941497298063,82,15,WIFI
00:26:5a:29:c6:e8,dlink,[WPS],2012-08-09 15:22:40,6,-84,51.538179093267,-0.151941497298063,82,15,WIFI
58:98:35:16:e0:af,O2wireless16E0AF,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS],2012-08-09 15:22:40,6,-84,51.538179093267,-0.151941497298063,82,15,WIFI
23415_255_48889056,vodafone UK,UMTS;gb,2012-08-09 15:22:40,0,-51,51.538179093267,-0.151941497298063,82,15,GSM
00:26:5a:a3:d9:5e,beast,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-09 15:22:40,11,-90,51.538179093267,-0.151941497298063,82,15,WIFI
00:15:af:2b:2c:ab,StEsteve,[WEP],2012-08-09 15:22:40,6,-82,51.538179093267,-0.151941497298063,82,15,WIFI
00:26:50:8e:eb:89,BTBusinessHub-362,[WEP],2012-08-09 15:22:40,7,-89,51.538179093267,-0.151941497298063,82,15,WIFI
23415_255_48885875,vodafone UK,UMTS;gb,2012-08-09 15:25:08,0,-89,51.5386591978048,-0.143641213695157,72,20,GSM
1c:af:f7:7a:ed:a4,TALKTALK-7AEDA4,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,1,-86,51.5366923179241,-0.177645601358676,0,578.363159179688,WIFI
00:1e:2a:eb:37:ba,frankie,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,3,-88,51.5366923179241,-0.177645601358676,0,578.363159179688,WIFI
00:14:a5:0b:e6:c9,This is not an access point,[WPA-PSK-CCMP],1970-01-01 01:00:00,11,-84,51.5366923179241,-0.177645601358676,0,578.363159179688,WIFI
00:11:f5:ca:02:69,BTVOYAGER2500V-69,[WEP],1970-01-01 01:00:00,7,-81,51.5366923179241,-0.177645601358676,0,578.363159179688,WIFI
62:f3:a3:0f:71:16,BTWiFi,,1970-01-01 01:00:00,1,-89,51.5366923179241,-0.177645601358676,0,578.363159179688,WIFI
20:f3:a3:0f:71:15,BTHub3-RKHN,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,1,-77,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
a0:21:b7:ed:ee:0e,virginmedia8147255,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],1970-01-01 01:00:00,1,-80,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
00:1f:e2:c2:df:88,BTHomeHub2-R78G,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,1,-84,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
80:b6:86:fd:c2:9e,BTHub3-CFXP,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,11,-86,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
62:f3:a3:0f:71:17,BTWiFi-with-FON,,1970-01-01 01:00:00,1,-77,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
62:f3:a3:0f:71:16,BTWiFi,,1970-01-01 01:00:00,1,-77,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
62:b6:86:fd:c2:98,BTFON,,1970-01-01 01:00:00,11,-86,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
62:b6:86:fd:c2:9f,BTOpenzone-H,,1970-01-01 01:00:00,11,-88,51.5367387796535,-0.176842348106782,0,578.363159179688,WIFI
00:24:2b:b0:1a:58,BTHomeHub2-JMGG,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,1,-80,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
4c:17:eb:85:83:c6,SKY583C5,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],1970-01-01 01:00:00,6,-81,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
a0:21:b7:cf:6d:8a,virginmedia0657536,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],1970-01-01 01:00:00,1,-84,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
80:b6:86:b2:8f:27,BTHub3-JMGC,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,1,-85,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
c4:3d:c7:2e:d6:d0,virginmedia7098896,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],1970-01-01 01:00:00,6,-89,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
00:1e:52:f7:04:fd,JPWN,[WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,13,-84,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
00:01:3b:8b:38:fa,BTHub3-XSHW,[WEP],1970-01-01 01:00:00,11,-84,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
82:b6:86:b2:8f:21,BTFON,,1970-01-01 01:00:00,1,-85,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
12:01:3b:8b:38:fa,BTWiFi-with-FON,,1970-01-01 01:00:00,11,-86,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
82:b6:86:b2:8f:20,BTOpenzone-H,,1970-01-01 01:00:00,1,-86,51.536785241383,-0.176039094854888,0,578.363159179688,WIFI
a0:21:b7:cf:6d:8a,virginmedia0657536,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],1970-01-01 01:00:00,1,-86,51.5368317031125,-0.175235841602994,0,578.363159179688,WIFI
80:b6:86:b2:8f:27,BTHub3-JMGC,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],1970-01-01 01:00:00,1,-89,51.5368317031125,-0.175235841602994,0,578.363159179688,WIFI
00:01:3b:8b:38:fa,BTHub3-XSHW,[WEP],1970-01-01 01:00:00,11,-84,51.5368317031125,-0.175235841602994,0,578.363159179688,WIFI
02:01:3b:8b:38:fa,BTWiFi,,1970-01-01 01:00:00,11,-83,51.5368317031125,-0.175235841602994,0,578.363159179688,WIFI
82:b6:86:b2:8f:20,BTOpenzone-H,,1970-01-01 01:00:00,1,-86,51.5368317031125,-0.175235841602994,0,578.363159179688,WIFI
82:b6:86:b2:8f:21,BTFON,,1970-01-01 01:00:00,1,-88,51.5368317031125,-0.175235841602994,0,578.363159179688,WIFI
